ADMIN|FAIL|2019-09-24 11:53:47|AnkitK|BAD|103.113.104.66|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36|
ADMIN|FAIL|2019-10-15 08:53:12|9898|BAD|14.98.72.66|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-20 21:02:21|2010|BAD|113.30.164.50|Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0|
ADMIN|FAIL|2019-10-24 14:51:06|Ascend02|BAD|14.98.72.66|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-24 17:14:53|9898|BAD|14.98.72.66|Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3223.0 Safari/537.36|
ADMIN|FAIL|2019-10-25 10:29:21|Ascend01|LOCK|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3235.0 Safari/537.36|
ADMIN|FAIL|2019-10-25 10:29:34|Ascend01|LOCK|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3235.0 Safari/537.36|
ADMIN|FAIL|2019-10-25 10:29:45|Ascend01|LOCK|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3235.0 Safari/537.36|
ADMIN|FAIL|2019-10-25 10:30:02|Ascend01|LOCK|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3235.0 Safari/537.36|
ADMIN|FAIL|2019-10-25 10:30:19|Ascend01|LOCK|14.98.72.66|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-25 10:30:34|Ascend01|LOCK|14.98.72.66|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
